dags,kyn,rekstrarform,starfandi,bakgrunnur,tegund
2008-09-01,Konur,Alls starfandi,84767,Alls,Annad
2008-09-01,Konur,Alls starfandi,75351,Íslenskur bakgrunnur,Annad
2008-09-01,Konur,Alls starfandi,9416,Innflytjendur,Annad
2008-10-01,Alls,Alls starfandi,174793,Alls,Annad
2008-10-01,Alls,Alls starfandi,152578,Íslenskur bakgrunnur,Annad
2008-10-01,Alls,Alls starfandi,22215,Innflytjendur,Annad
2008-10-01,Karlar,Alls starfandi,92368,Alls,Annad
2008-10-01,Karlar,Alls starfandi,79417,Íslenskur bakgrunnur,Annad
2008-10-01,Karlar,Alls starfandi,12951,Innflytjendur,Annad
2008-10-01,Konur,Alls starfandi,82424,Alls,Annad
2008-10-01,Konur,Alls starfandi,73161,Íslenskur bakgrunnur,Annad
2008-10-01,Konur,Alls starfandi,9263,Innflytjendur,Annad
2008-11-01,Alls,Alls starfandi,171730,Alls,Annad
2008-11-01,Alls,Alls starfandi,150927,Íslenskur bakgrunnur,Annad
2008-11-01,Alls,Alls starfandi,20803,Innflytjendur,Annad
2008-11-01,Karlar,Alls starfandi,89911,Alls,Annad
2008-11-01,Karlar,Alls starfandi,78225,Íslenskur bakgrunnur,Annad
2008-11-01,Karlar,Alls starfandi,11686,Innflytjendur,Annad
2008-11-01,Konur,Alls starfandi,81819,Alls,Annad
2008-11-01,Konur,Alls starfandi,72702,Íslenskur bakgrunnur,Annad
2008-11-01,Konur,Alls starfandi,9117,Innflytjendur,Annad
2008-12-01,Alls,Alls starfandi,171531,Alls,Annad
2008-12-01,Alls,Alls starfandi,152159,Íslenskur bakgrunnur,Annad
2008-12-01,Alls,Alls starfandi,19372,Innflytjendur,Annad
2008-12-01,Karlar,Alls starfandi,89253,Alls,Annad
2008-12-01,Karlar,Alls starfandi,78842,Íslenskur bakgrunnur,Annad
2008-12-01,Karlar,Alls starfandi,10411,Innflytjendur,Annad
2008-12-01,Konur,Alls starfandi,82277,Alls,Annad
2008-12-01,Konur,Alls starfandi,73316,Íslenskur bakgrunnur,Annad
2008-12-01,Konur,Alls starfandi,8961,Innflytjendur,Annad
2009-01-01,Alls,Alls starfandi,162364,Alls,Annad
2009-01-01,Alls,Alls starfandi,145345,Íslenskur bakgrunnur,Annad
2009-01-01,Alls,Alls starfandi,17019,Innflytjendur,Annad
2009-01-01,Karlar,Alls starfandi,82836,Alls,Annad
2009-01-01,Karlar,Alls starfandi,74238,Íslenskur bakgrunnur,Annad
2009-01-01,Karlar,Alls starfandi,8598,Innflytjendur,Annad
2009-01-01,Konur,Alls starfandi,79528,Alls,Annad
2009-01-01,Konur,Alls starfandi,71107,Íslenskur bakgrunnur,Annad
2009-01-01,Konur,Alls starfandi,8421,Innflytjendur,Annad
2009-02-01,Alls,Alls starfandi,160612,Alls,Annad
2009-02-01,Alls,Alls starfandi,143697,Íslenskur bakgrunnur,Annad
2009-02-01,Alls,Alls starfandi,16915,Innflytjendur,Annad
2009-02-01,Karlar,Alls starfandi,82057,Alls,Annad
2009-02-01,Karlar,Alls starfandi,73552,Íslenskur bakgrunnur,Annad
2009-02-01,Karlar,Alls starfandi,8505,Innflytjendur,Annad
2009-02-01,Konur,Alls starfandi,78555,Alls,Annad
2009-02-01,Konur,Alls starfandi,70145,Íslenskur bakgrunnur,Annad
2009-02-01,Konur,Alls starfandi,8410,Innflytjendur,Annad
2009-03-01,Alls,Alls starfandi,159697,Alls,Annad
2009-03-01,Alls,Alls starfandi,143030,Íslenskur bakgrunnur,Annad
2009-03-01,Alls,Alls starfandi,16667,Innflytjendur,Annad
2009-03-01,Karlar,Alls starfandi,81500,Alls,Annad
2009-03-01,Karlar,Alls starfandi,73159,Íslenskur bakgrunnur,Annad
2009-03-01,Karlar,Alls starfandi,8341,Innflytjendur,Annad
2009-03-01,Konur,Alls starfandi,78197,Alls,Annad
2009-03-01,Konur,Alls starfandi,69871,Íslenskur bakgrunnur,Annad
2009-03-01,Konur,Alls starfandi,8326,Innflytjendur,Annad
2009-04-01,Alls,Alls starfandi,159735,Alls,Annad
2009-04-01,Alls,Alls starfandi,143327,Íslenskur bakgrunnur,Annad
2009-04-01,Alls,Alls starfandi,16408,Innflytjendur,Annad
2009-04-01,Karlar,Alls starfandi,81406,Alls,Annad
2009-04-01,Karlar,Alls starfandi,73306,Íslenskur bakgrunnur,Annad
2009-04-01,Karlar,Alls starfandi,8100,Innflytjendur,Annad
2009-04-01,Konur,Alls starfandi,78329,Alls,Annad
2009-04-01,Konur,Alls starfandi,70021,Íslenskur bakgrunnur,Annad
2009-04-01,Konur,Alls starfandi,8308,Innflytjendur,Annad
2009-05-01,Alls,Alls starfandi,164726,Alls,Annad
2009-05-01,Alls,Alls starfandi,147973,Íslenskur bakgrunnur,Annad
2009-05-01,Alls,Alls starfandi,16753,Innflytjendur,Annad
2009-05-01,Karlar,Alls starfandi,84282,Alls,Annad
2009-05-01,Karlar,Alls starfandi,76013,Íslenskur bakgrunnur,Annad
2009-05-01,Karlar,Alls starfandi,8269,Innflytjendur,Annad
2009-05-01,Konur,Alls starfandi,80444,Alls,Annad
2009-05-01,Konur,Alls starfandi,71960,Íslenskur bakgrunnur,Annad
2009-05-01,Konur,Alls starfandi,8484,Innflytjendur,Annad
2009-06-01,Alls,Alls starfandi,176404,Alls,Annad
2009-06-01,Alls,Alls starfandi,159772,Íslenskur bakgrunnur,Annad
2009-06-01,Alls,Alls starfandi,16632,Innflytjendur,Annad
2009-06-01,Karlar,Alls starfandi,90944,Alls,Annad
2009-06-01,Karlar,Alls starfandi,82764,Íslenskur bakgrunnur,Annad
2009-06-01,Karlar,Alls starfandi,8180,Innflytjendur,Annad
2009-06-01,Konur,Alls starfandi,85460,Alls,Annad
2009-06-01,Konur,Alls starfandi,77008,Íslenskur bakgrunnur,Annad
2009-06-01,Konur,Alls starfandi,8452,Innflytjendur,Annad
2009-07-01,Alls,Alls starfandi,177676,Alls,Annad
2009-07-01,Alls,Alls starfandi,161579,Íslenskur bakgrunnur,Annad
2009-07-01,Alls,Alls starfandi,16097,Innflytjendur,Annad
2009-07-01,Karlar,Alls starfandi,91733,Alls,Annad
2009-07-01,Karlar,Alls starfandi,83866,Íslenskur bakgrunnur,Annad
2009-07-01,Karlar,Alls starfandi,7867,Innflytjendur,Annad
2009-07-01,Konur,Alls starfandi,85942,Alls,Annad
2009-07-01,Konur,Alls starfandi,77713,Íslenskur bakgrunnur,Annad
2009-07-01,Konur,Alls starfandi,8229,Innflytjendur,Annad
2009-08-01,Alls,Alls starfandi,171969,Alls,Annad
2009-08-01,Alls,Alls starfandi,155926,Íslenskur bakgrunnur,Annad
2009-08-01,Alls,Alls starfandi,16043,Innflytjendur,Annad
2009-08-01,Karlar,Alls starfandi,88784,Alls,Annad
2009-08-01,Karlar,Alls starfandi,80947,Íslenskur bakgrunnur,Annad
2009-08-01,Karlar,Alls starfandi,7837,Innflytjendur,Annad
2009-08-01,Konur,Alls starfandi,83184,Alls,Annad
2009-08-01,Konur,Alls starfandi,74979,Íslenskur bakgrunnur,Annad
2009-08-01,Konur,Alls starfandi,8205,Innflytjendur,Annad
2009-09-01,Alls,Alls starfandi,164266,Alls,Annad
2009-09-01,Alls,Alls starfandi,147598,Íslenskur bakgrunnur,Annad
2009-09-01,Alls,Alls starfandi,16668,Innflytjendur,Annad
2009-09-01,Karlar,Alls starfandi,84208,Alls,Annad
2009-09-01,Karlar,Alls starfandi,75972,Íslenskur bakgrunnur,Annad
2009-09-01,Karlar,Alls starfandi,8236,Innflytjendur,Annad
2009-09-01,Konur,Alls starfandi,80057,Alls,Annad
2009-09-01,Konur,Alls starfandi,71626,Íslenskur bakgrunnur,Annad
2009-09-01,Konur,Alls starfandi,8431,Innflytjendur,Annad
2009-10-01,Alls,Alls starfandi,160657,Alls,Annad
2009-10-01,Alls,Alls starfandi,144213,Íslenskur bakgrunnur,Annad
2009-10-01,Alls,Alls starfandi,16444,Innflytjendur,Annad
2009-10-01,Karlar,Alls starfandi,82360,Alls,Annad
2009-10-01,Karlar,Alls starfandi,74195,Íslenskur bakgrunnur,Annad
2009-10-01,Karlar,Alls starfandi,8165,Innflytjendur,Annad
2009-10-01,Konur,Alls starfandi,78296,Alls,Annad
2009-10-01,Konur,Alls starfandi,70018,Íslenskur bakgrunnur,Annad
2009-10-01,Konur,Alls starfandi,8278,Innflytjendur,Annad
2009-11-01,Alls,Alls starfandi,160712,Alls,Annad
2009-11-01,Alls,Alls starfandi,144556,Íslenskur bakgrunnur,Annad
2009-11-01,Alls,Alls starfandi,16156,Innflytjendur,Annad
2009-11-01,Karlar,Alls starfandi,82262,Alls,Annad
2009-11-01,Karlar,Alls starfandi,74351,Íslenskur bakgrunnur,Annad
2009-11-01,Karlar,Alls starfandi,7911,Innflytjendur,Annad
2009-11-01,Konur,Alls starfandi,78450,Alls,Annad
2009-11-01,Konur,Alls starfandi,70205,Íslenskur bakgrunnur,Annad
2009-11-01,Konur,Alls starfandi,8245,Innflytjendur,Annad
2009-12-01,Alls,Alls starfandi,162256,Alls,Annad
2009-12-01,Alls,Alls starfandi,146373,Íslenskur bakgrunnur,Annad
2009-12-01,Alls,Alls starfandi,15883,Innflytjendur,Annad
2009-12-01,Karlar,Alls starfandi,83158,Alls,Annad
2009-12-01,Karlar,Alls starfandi,75465,Íslenskur bakgrunnur,Annad
2009-12-01,Karlar,Alls starfandi,7693,Innflytjendur,Annad
2009-12-01,Konur,Alls starfandi,79098,Alls,Annad
2009-12-01,Konur,Alls starfandi,70908,Íslenskur bakgrunnur,Annad
2009-12-01,Konur,Alls starfandi,8190,Innflytjendur,Annad
2010-01-01,Alls,Alls starfandi,155182,Alls,Annad
2010-01-01,Alls,Alls starfandi,140164,Íslenskur bakgrunnur,Annad
2010-01-01,Alls,Alls starfandi,15018,Innflytjendur,Annad
2010-01-01,Karlar,Alls starfandi,78358,Alls,Annad
2010-01-01,Karlar,Alls starfandi,71210,Íslenskur bakgrunnur,Annad
2010-01-01,Karlar,Alls starfandi,7148,Innflytjendur,Annad
2010-01-01,Konur,Alls starfandi,76824,Alls,Annad
2010-01-01,Konur,Alls starfandi,68954,Íslenskur bakgrunnur,Annad
2010-01-01,Konur,Alls starfandi,7870,Innflytjendur,Annad
2010-02-01,Alls,Alls starfandi,155109,Alls,Annad
2010-02-01,Alls,Alls starfandi,139996,Íslenskur bakgrunnur,Annad
2010-02-01,Alls,Alls starfandi,15113,Innflytjendur,Annad
2010-02-01,Karlar,Alls starfandi,78700,Alls,Annad
2010-02-01,Karlar,Alls starfandi,71470,Íslenskur bakgrunnur,Annad
2010-02-01,Karlar,Alls starfandi,7230,Innflytjendur,Annad
2010-02-01,Konur,Alls starfandi,76408,Alls,Annad
2010-02-01,Konur,Alls starfandi,68525,Íslenskur bakgrunnur,Annad
2010-02-01,Konur,Alls starfandi,7883,Innflytjendur,Annad
2010-03-01,Alls,Alls starfandi,155917,Alls,Annad
2010-03-01,Alls,Alls starfandi,140740,Íslenskur bakgrunnur,Annad
2010-03-01,Alls,Alls starfandi,15177,Innflytjendur,Annad
2010-03-01,Karlar,Alls starfandi,79163,Alls,Annad
2010-03-01,Karlar,Alls starfandi,71899,Íslenskur bakgrunnur,Annad
2010-03-01,Karlar,Alls starfandi,7264,Innflytjendur,Annad
2010-03-01,Konur,Alls starfandi,76753,Alls,Annad
2010-03-01,Konur,Alls starfandi,68840,Íslenskur bakgrunnur,Annad
2010-03-01,Konur,Alls starfandi,7913,Innflytjendur,Annad
2010-04-01,Alls,Alls starfandi,156393,Alls,Annad
2010-04-01,Alls,Alls starfandi,141227,Íslenskur bakgrunnur,Annad
2010-04-01,Alls,Alls starfandi,15166,Innflytjendur,Annad
2010-04-01,Karlar,Alls starfandi,79424,Alls,Annad
2010-04-01,Karlar,Alls starfandi,72173,Íslenskur bakgrunnur,Annad
2010-04-01,Karlar,Alls starfandi,7251,Innflytjendur,Annad
2010-04-01,Konur,Alls starfandi,76968,Alls,Annad
2010-04-01,Konur,Alls starfandi,69053,Íslenskur bakgrunnur,Annad
2010-04-01,Konur,Alls starfandi,7915,Innflytjendur,Annad
2010-05-01,Alls,Alls starfandi,162100,Alls,Annad
2010-05-01,Alls,Alls starfandi,146616,Íslenskur bakgrunnur,Annad
2010-05-01,Alls,Alls starfandi,15484,Innflytjendur,Annad
2010-05-01,Karlar,Alls starfandi,82812,Alls,Annad
2010-05-01,Karlar,Alls starfandi,75400,Íslenskur bakgrunnur,Annad
2010-05-01,Karlar,Alls starfandi,7412,Innflytjendur,Annad
2010-05-01,Konur,Alls starfandi,79287,Alls,Annad
2010-05-01,Konur,Alls starfandi,71215,Íslenskur bakgrunnur,Annad
2010-05-01,Konur,Alls starfandi,8072,Innflytjendur,Annad
2010-06-01,Alls,Alls starfandi,173590,Alls,Annad
2010-06-01,Alls,Alls starfandi,158111,Íslenskur bakgrunnur,Annad
2010-06-01,Alls,Alls starfandi,15479,Innflytjendur,Annad
2010-06-01,Karlar,Alls starfandi,89363,Alls,Annad
2010-06-01,Karlar,Alls starfandi,81899,Íslenskur bakgrunnur,Annad
2010-06-01,Karlar,Alls starfandi,7464,Innflytjendur,Annad
2010-06-01,Konur,Alls starfandi,84225,Alls,Annad
2010-06-01,Konur,Alls starfandi,76210,Íslenskur bakgrunnur,Annad
2010-06-01,Konur,Alls starfandi,8015,Innflytjendur,Annad
2010-07-01,Alls,Alls starfandi,175741,Alls,Annad
2010-07-01,Alls,Alls starfandi,160585,Íslenskur bakgrunnur,Annad
2010-07-01,Alls,Alls starfandi,15156,Innflytjendur,Annad
2010-07-01,Karlar,Alls starfandi,90994,Alls,Annad
2010-07-01,Karlar,Alls starfandi,83692,Íslenskur bakgrunnur,Annad
2010-07-01,Karlar,Alls starfandi,7302,Innflytjendur,Annad
2010-07-01,Konur,Alls starfandi,84745,Alls,Annad
2010-07-01,Konur,Alls starfandi,76891,Íslenskur bakgrunnur,Annad
2010-07-01,Konur,Alls starfandi,7854,Innflytjendur,Annad
2010-08-01,Alls,Alls starfandi,171309,Alls,Annad
2010-08-01,Alls,Alls starfandi,155924,Íslenskur bakgrunnur,Annad
2010-08-01,Alls,Alls starfandi,15385,Innflytjendur,Annad
2010-08-01,Karlar,Alls starfandi,88511,Alls,Annad
2010-08-01,Karlar,Alls starfandi,81091,Íslenskur bakgrunnur,Annad
2010-08-01,Karlar,Alls starfandi,7420,Innflytjendur,Annad
2010-08-01,Konur,Alls starfandi,82796,Alls,Annad
2010-08-01,Konur,Alls starfandi,74831,Íslenskur bakgrunnur,Annad
2010-08-01,Konur,Alls starfandi,7965,Innflytjendur,Annad
2010-09-01,Alls,Alls starfandi,162725,Alls,Annad
2010-09-01,Alls,Alls starfandi,146835,Íslenskur bakgrunnur,Annad
2010-09-01,Alls,Alls starfandi,15890,Innflytjendur,Annad
2010-09-01,Karlar,Alls starfandi,83513,Alls,Annad
2010-09-01,Karlar,Alls starfandi,75696,Íslenskur bakgrunnur,Annad
2010-09-01,Karlar,Alls starfandi,7817,Innflytjendur,Annad
2010-09-01,Konur,Alls starfandi,79210,Alls,Annad
2010-09-01,Konur,Alls starfandi,71137,Íslenskur bakgrunnur,Annad
2010-09-01,Konur,Alls starfandi,8073,Innflytjendur,Annad
2010-10-01,Alls,Alls starfandi,159374,Alls,Annad
2010-10-01,Alls,Alls starfandi,143611,Íslenskur bakgrunnur,Annad
2010-10-01,Alls,Alls starfandi,15763,Innflytjendur,Annad
2010-10-01,Karlar,Alls starfandi,81626,Alls,Annad
2010-10-01,Karlar,Alls starfandi,73893,Íslenskur bakgrunnur,Annad
2010-10-01,Karlar,Alls starfandi,7733,Innflytjendur,Annad
2010-10-01,Konur,Alls starfandi,77746,Alls,Annad
2010-10-01,Konur,Alls starfandi,69716,Íslenskur bakgrunnur,Annad
2010-10-01,Konur,Alls starfandi,8030,Innflytjendur,Annad
2010-11-01,Alls,Alls starfandi,159665,Alls,Annad
2010-11-01,Alls,Alls starfandi,144070,Íslenskur bakgrunnur,Annad
2010-11-01,Alls,Alls starfandi,15595,Innflytjendur,Annad
2010-11-01,Karlar,Alls starfandi,81610,Alls,Annad
2010-11-01,Karlar,Alls starfandi,74035,Íslenskur bakgrunnur,Annad
2010-11-01,Karlar,Alls starfandi,7575,Innflytjendur,Annad
2010-11-01,Konur,Alls starfandi,78053,Alls,Annad
2010-11-01,Konur,Alls starfandi,70033,Íslenskur bakgrunnur,Annad
2010-11-01,Konur,Alls starfandi,8020,Innflytjendur,Annad
2010-12-01,Alls,Alls starfandi,161386,Alls,Annad
2010-12-01,Alls,Alls starfandi,146046,Íslenskur bakgrunnur,Annad
2010-12-01,Alls,Alls starfandi,15340,Innflytjendur,Annad
2010-12-01,Karlar,Alls starfandi,82640,Alls,Annad
2010-12-01,Karlar,Alls starfandi,75245,Íslenskur bakgrunnur,Annad
2010-12-01,Karlar,Alls starfandi,7395,Innflytjendur,Annad
2010-12-01,Konur,Alls starfandi,78744,Alls,Annad
2010-12-01,Konur,Alls starfandi,70799,Íslenskur bakgrunnur,Annad
2010-12-01,Konur,Alls starfandi,7945,Innflytjendur,Annad
2011-01-01,Alls,Alls starfandi,155157,Alls,Annad
2011-01-01,Alls,Alls starfandi,140384,Íslenskur bakgrunnur,Annad
2011-01-01,Alls,Alls starfandi,14773,Innflytjendur,Annad
2011-01-01,Karlar,Alls starfandi,78504,Alls,Annad
2011-01-01,Karlar,Alls starfandi,71461,Íslenskur bakgrunnur,Annad
2011-01-01,Karlar,Alls starfandi,7043,Innflytjendur,Annad
2011-01-01,Konur,Alls starfandi,76651,Alls,Annad
2011-01-01,Konur,Alls starfandi,68921,Íslenskur bakgrunnur,Annad
2011-01-01,Konur,Alls starfandi,7730,Innflytjendur,Annad
2011-02-01,Alls,Alls starfandi,155478,Alls,Annad
2011-02-01,Alls,Alls starfandi,140552,Íslenskur bakgrunnur,Annad
2011-02-01,Alls,Alls starfandi,14926,Innflytjendur,Annad
2011-02-01,Karlar,Alls starfandi,79026,Alls,Annad
2011-02-01,Karlar,Alls starfandi,71889,Íslenskur bakgrunnur,Annad
2011-02-01,Karlar,Alls starfandi,7137,Innflytjendur,Annad
2011-02-01,Konur,Alls starfandi,76450,Alls,Annad
2011-02-01,Konur,Alls starfandi,68661,Íslenskur bakgrunnur,Annad
2011-02-01,Konur,Alls starfandi,7789,Innflytjendur,Annad
2011-03-01,Alls,Alls starfandi,156154,Alls,Annad
2011-03-01,Alls,Alls starfandi,141052,Íslenskur bakgrunnur,Annad
2011-03-01,Alls,Alls starfandi,15102,Innflytjendur,Annad
2011-03-01,Karlar,Alls starfandi,79548,Alls,Annad
2011-03-01,Karlar,Alls starfandi,72285,Íslenskur bakgrunnur,Annad
2011-03-01,Karlar,Alls starfandi,7263,Innflytjendur,Annad
2011-03-01,Konur,Alls starfandi,76604,Alls,Annad
2011-03-01,Konur,Alls starfandi,68765,Íslenskur bakgrunnur,Annad
2011-03-01,Konur,Alls starfandi,7839,Innflytjendur,Annad
2011-04-01,Alls,Alls starfandi,157555,Alls,Annad
2011-04-01,Alls,Alls starfandi,142331,Íslenskur bakgrunnur,Annad
2011-04-01,Alls,Alls starfandi,15224,Innflytjendur,Annad
2011-04-01,Karlar,Alls starfandi,80350,Alls,Annad
2011-04-01,Karlar,Alls starfandi,73002,Íslenskur bakgrunnur,Annad
2011-04-01,Karlar,Alls starfandi,7348,Innflytjendur,Annad
2011-04-01,Konur,Alls starfandi,77203,Alls,Annad
2011-04-01,Konur,Alls starfandi,69327,Íslenskur bakgrunnur,Annad
2011-04-01,Konur,Alls starfandi,7876,Innflytjendur,Annad
2011-05-01,Alls,Alls starfandi,163748,Alls,Annad
2011-05-01,Alls,Alls starfandi,148044,Íslenskur bakgrunnur,Annad
2011-05-01,Alls,Alls starfandi,15704,Innflytjendur,Annad
2011-05-01,Karlar,Alls starfandi,84085,Alls,Annad
2011-05-01,Karlar,Alls starfandi,76475,Íslenskur bakgrunnur,Annad
2011-05-01,Karlar,Alls starfandi,7610,Innflytjendur,Annad
2011-05-01,Konur,Alls starfandi,79662,Alls,Annad
2011-05-01,Konur,Alls starfandi,71568,Íslenskur bakgrunnur,Annad
2011-05-01,Konur,Alls starfandi,8094,Innflytjendur,Annad
2011-06-01,Alls,Alls starfandi,176200,Alls,Annad
2011-06-01,Alls,Alls starfandi,160174,Íslenskur bakgrunnur,Annad
2011-06-01,Alls,Alls starfandi,16026,Innflytjendur,Annad
2011-06-01,Karlar,Alls starfandi,90781,Alls,Annad
2011-06-01,Karlar,Alls starfandi,83081,Íslenskur bakgrunnur,Annad
2011-06-01,Karlar,Alls starfandi,7700,Innflytjendur,Annad
2011-06-01,Konur,Alls starfandi,85418,Alls,Annad
2011-06-01,Konur,Alls starfandi,77092,Íslenskur bakgrunnur,Annad
2011-06-01,Konur,Alls starfandi,8326,Innflytjendur,Annad
2011-07-01,Alls,Alls starfandi,176809,Alls,Annad
2011-07-01,Alls,Alls starfandi,161103,Íslenskur bakgrunnur,Annad
2011-07-01,Alls,Alls starfandi,15706,Innflytjendur,Annad
2011-07-01,Karlar,Alls starfandi,91787,Alls,Annad
2011-07-01,Karlar,Alls starfandi,84209,Íslenskur bakgrunnur,Annad
2011-07-01,Karlar,Alls starfandi,7578,Innflytjendur,Annad
2011-07-01,Konur,Alls starfandi,85020,Alls,Annad
2011-07-01,Konur,Alls starfandi,76892,Íslenskur bakgrunnur,Annad
2011-07-01,Konur,Alls starfandi,8128,Innflytjendur,Annad
2011-08-01,Alls,Alls starfandi,172348,Alls,Annad
2011-08-01,Alls,Alls starfandi,156512,Íslenskur bakgrunnur,Annad
2011-08-01,Alls,Alls starfandi,15836,Innflytjendur,Annad
2011-08-01,Karlar,Alls starfandi,89220,Alls,Annad
2011-08-01,Karlar,Alls starfandi,81577,Íslenskur bakgrunnur,Annad
2011-08-01,Karlar,Alls starfandi,7643,Innflytjendur,Annad
2011-08-01,Konur,Alls starfandi,83126,Alls,Annad
2011-08-01,Konur,Alls starfandi,74933,Íslenskur bakgrunnur,Annad
2011-08-01,Konur,Alls starfandi,8193,Innflytjendur,Annad
2011-09-01,Alls,Alls starfandi,164722,Alls,Annad
2011-09-01,Alls,Alls starfandi,148419,Íslenskur bakgrunnur,Annad
