rikisfang,ar,n
San Marínó,2018,1
San Marínó,2019,1
San Marínó,2020,1
San Marínó,2021,1
San Marínó,2022,1
San Marínó,2023,1
San Marínó,2024,1
Fyrrum Sovétríki,1998,4
Fyrrum Sovétríki,1999,3
Fyrrum Sovétríki,2000,1
Fyrrum Sovétríki,2001,1
Fyrrum Sovétríki,2002,1
Fyrrum Sovétríki,2003,0
Fyrrum Sovétríki,2004,0
Fyrrum Sovétríki,2005,0
Fyrrum Sovétríki,2006,0
Fyrrum Sovétríki,2007,0
Fyrrum Sovétríki,2008,0
Fyrrum Sovétríki,2009,0
Fyrrum Sovétríki,2010,0
Fyrrum Sovétríki,2011,0
Fyrrum Sovétríki,2012,0
Fyrrum Sovétríki,2013,0
Fyrrum Sovétríki,2014,0
Fyrrum Sovétríki,2015,0
Fyrrum Sovétríki,2016,0
Fyrrum Sovétríki,2017,0
Fyrrum Sovétríki,2018,0
Fyrrum Sovétríki,2019,0
Fyrrum Sovétríki,2020,0
Fyrrum Sovétríki,2021,0
Fyrrum Sovétríki,2022,0
Fyrrum Sovétríki,2023,0
Fyrrum Sovétríki,2024,0
Úkraína,1998,4
Úkraína,1999,11
Úkraína,2000,20
Úkraína,2001,30
Úkraína,2002,35
Úkraína,2003,41
Úkraína,2004,45
Úkraína,2005,46
Úkraína,2006,62
Úkraína,2007,66
Úkraína,2008,71
Úkraína,2009,68
Úkraína,2010,56
Úkraína,2011,55
Úkraína,2012,53
Úkraína,2013,45
Úkraína,2014,45
Úkraína,2015,47
Úkraína,2016,58
Úkraína,2017,65
Úkraína,2018,73
Úkraína,2019,85
Úkraína,2020,94
Úkraína,2021,91
Úkraína,2022,88
Úkraína,2023,974
Úkraína,2024,1532
Kósovó,1998,0
Kósovó,1999,0
Kósovó,2000,0
Kósovó,2001,0
Kósovó,2002,0
Kósovó,2003,0
Kósovó,2004,0
Kósovó,2005,0
Kósovó,2006,0
Kósovó,2007,0
Kósovó,2008,0
Kósovó,2009,0
Kósovó,2010,27
Kósovó,2011,46
Kósovó,2012,46
Kósovó,2013,41
Kósovó,2014,40
Kósovó,2015,32
Kósovó,2016,26
Kósovó,2017,24
Kósovó,2018,27
Kósovó,2019,34
Kósovó,2020,38
Kósovó,2021,44
Kósovó,2022,46
Kósovó,2023,43
Kósovó,2024,47
Evrópa ótilgreint,1998,1
Evrópa ótilgreint,1999,0
Evrópa ótilgreint,2000,0
Evrópa ótilgreint,2001,0
Evrópa ótilgreint,2002,0
Evrópa ótilgreint,2003,1
Evrópa ótilgreint,2004,0
Evrópa ótilgreint,2005,1
Evrópa ótilgreint,2006,1
Evrópa ótilgreint,2007,0
Evrópa ótilgreint,2008,0
Evrópa ótilgreint,2009,0
Evrópa ótilgreint,2010,0
Evrópa ótilgreint,2011,0
Evrópa ótilgreint,2012,0
Evrópa ótilgreint,2013,0
Evrópa ótilgreint,2014,0
Evrópa ótilgreint,2015,0
Evrópa ótilgreint,2016,0
Evrópa ótilgreint,2017,0
Evrópa ótilgreint,2018,0
Evrópa ótilgreint,2019,0
Evrópa ótilgreint,2020,0
Evrópa ótilgreint,2021,0
Evrópa ótilgreint,2022,0
Evrópa ótilgreint,2023,0
Evrópa ótilgreint,2024,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",1998,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",1999,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",2000,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",2001,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",2002,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",2003,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",2004,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",2005,245
"Ríki í fyrrum Júgóslavíu, ótilgreint",2006,220
"Ríki í fyrrum Júgóslavíu, ótilgreint",2007,246
"Ríki í fyrrum Júgóslavíu, ótilgreint",2008,179
"Ríki í fyrrum Júgóslavíu, ótilgreint",2009,107
"Ríki í fyrrum Júgóslavíu, ótilgreint",2010,56
"Ríki í fyrrum Júgóslavíu, ótilgreint",2011,48
"Ríki í fyrrum Júgóslavíu, ótilgreint",2012,29
"Ríki í fyrrum Júgóslavíu, ótilgreint",2013,17
"Ríki í fyrrum Júgóslavíu, ótilgreint",2014,8
"Ríki í fyrrum Júgóslavíu, ótilgreint",2015,6
"Ríki í fyrrum Júgóslavíu, ótilgreint",2016,4
"Ríki í fyrrum Júgóslavíu, ótilgreint",2017,2
"Ríki í fyrrum Júgóslavíu, ótilgreint",2018,2
"Ríki í fyrrum Júgóslavíu, ótilgreint",2019,3
"Ríki í fyrrum Júgóslavíu, ótilgreint",2020,3
"Ríki í fyrrum Júgóslavíu, ótilgreint",2021,3
"Ríki í fyrrum Júgóslavíu, ótilgreint",2022,3
"Ríki í fyrrum Júgóslavíu, ótilgreint",2023,4
"Ríki í fyrrum Júgóslavíu, ótilgreint",2024,4
Júgóslavía (Serbía og Svartfjallaland),1998,78
Júgóslavía (Serbía og Svartfjallaland),1999,140
Júgóslavía (Serbía og Svartfjallaland),2000,181
Júgóslavía (Serbía og Svartfjallaland),2001,230
Júgóslavía (Serbía og Svartfjallaland),2002,270
Júgóslavía (Serbía og Svartfjallaland),2003,275
Júgóslavía (Serbía og Svartfjallaland),2004,269
Júgóslavía (Serbía og Svartfjallaland),2005,0
Júgóslavía (Serbía og Svartfjallaland),2006,0
Júgóslavía (Serbía og Svartfjallaland),2007,0
Júgóslavía (Serbía og Svartfjallaland),2008,0
Júgóslavía (Serbía og Svartfjallaland),2009,0
Júgóslavía (Serbía og Svartfjallaland),2010,0
Júgóslavía (Serbía og Svartfjallaland),2011,0
Júgóslavía (Serbía og Svartfjallaland),2012,0
Júgóslavía (Serbía og Svartfjallaland),2013,0
Júgóslavía (Serbía og Svartfjallaland),2014,0
Júgóslavía (Serbía og Svartfjallaland),2015,0
Júgóslavía (Serbía og Svartfjallaland),2016,0
Júgóslavía (Serbía og Svartfjallaland),2017,0
Júgóslavía (Serbía og Svartfjallaland),2018,0
Júgóslavía (Serbía og Svartfjallaland),2019,0
Júgóslavía (Serbía og Svartfjallaland),2020,0
Júgóslavía (Serbía og Svartfjallaland),2021,0
Júgóslavía (Serbía og Svartfjallaland),2022,0
Júgóslavía (Serbía og Svartfjallaland),2023,0
Júgóslavía (Serbía og Svartfjallaland),2024,0
Kanada,1998,28
Kanada,1999,32
Kanada,2000,34
Kanada,2001,40
Kanada,2002,40
Kanada,2003,37
Kanada,2004,36
Kanada,2005,39
Kanada,2006,50
Kanada,2007,81
Kanada,2008,137
Kanada,2009,66
Kanada,2010,57
Kanada,2011,48
Kanada,2012,51
Kanada,2013,45
Kanada,2014,46
Kanada,2015,41
Kanada,2016,41
Kanada,2017,55
Kanada,2018,55
Kanada,2019,61
Kanada,2020,56
Kanada,2021,52
Kanada,2022,63
Kanada,2023,69
Kanada,2024,79
Bandaríkin,1998,292
Bandaríkin,1999,303
Bandaríkin,2000,289
Bandaríkin,2001,327
Bandaríkin,2002,338
Bandaríkin,2003,317
Bandaríkin,2004,287
Bandaríkin,2005,285
Bandaríkin,2006,323
Bandaríkin,2007,380
Bandaríkin,2008,371
Bandaríkin,2009,295
Bandaríkin,2010,274
Bandaríkin,2011,238
Bandaríkin,2012,217
Bandaríkin,2013,276
Bandaríkin,2014,277
Bandaríkin,2015,260
Bandaríkin,2016,277
Bandaríkin,2017,312
Bandaríkin,2018,326
Bandaríkin,2019,363
Bandaríkin,2020,374
Bandaríkin,2021,375
Bandaríkin,2022,441
Bandaríkin,2023,455
Bandaríkin,2024,489
Antigua og Barbuda,1998,0
Antigua og Barbuda,1999,0
Antigua og Barbuda,2000,0
Antigua og Barbuda,2001,0
Antigua og Barbuda,2002,0
Antigua og Barbuda,2003,0
Antigua og Barbuda,2004,0
Antigua og Barbuda,2005,0
Antigua og Barbuda,2006,0
Antigua og Barbuda,2007,0
Antigua og Barbuda,2008,0
Antigua og Barbuda,2009,0
Antigua og Barbuda,2010,0
Antigua og Barbuda,2011,0
Antigua og Barbuda,2012,0
Antigua og Barbuda,2013,0
Antigua og Barbuda,2014,0
Antigua og Barbuda,2015,0
Antigua og Barbuda,2016,1
Antigua og Barbuda,2017,0
Antigua og Barbuda,2018,0
Antigua og Barbuda,2019,0
Antigua og Barbuda,2020,0
Antigua og Barbuda,2021,0
Antigua og Barbuda,2022,0
Antigua og Barbuda,2023,0
Antigua og Barbuda,2024,0
Argentína,1998,1
Argentína,1999,1
Argentína,2000,3
Argentína,2001,6
Argentína,2002,7
Argentína,2003,4
Argentína,2004,6
Argentína,2005,2
Argentína,2006,14
Argentína,2007,15
Argentína,2008,7
Argentína,2009,6
Argentína,2010,7
Argentína,2011,7
Argentína,2012,9
Argentína,2013,8
Argentína,2014,9
Argentína,2015,10
Argentína,2016,12
Argentína,2017,17
Argentína,2018,14
Argentína,2019,16
Argentína,2020,11
Argentína,2021,12
Argentína,2022,13
Argentína,2023,13
Argentína,2024,15
Barbados,1998,0
Barbados,1999,1
Barbados,2000,1
Barbados,2001,1
Barbados,2002,1
Barbados,2003,1
Barbados,2004,1
Barbados,2005,1
Barbados,2006,1
Barbados,2007,1
Barbados,2008,1
Barbados,2009,1
Barbados,2010,1
Barbados,2011,2
Barbados,2012,1
Barbados,2013,1
Barbados,2014,1
Barbados,2015,1
Barbados,2016,1
Barbados,2017,1
Barbados,2018,1
Barbados,2019,1
Barbados,2020,1
Barbados,2021,1
Barbados,2022,1
Barbados,2023,1
Barbados,2024,1
Bólivía,1998,2
Bólivía,1999,2
Bólivía,2000,2
Bólivía,2001,3
Bólivía,2002,3
Bólivía,2003,2
Bólivía,2004,2
Bólivía,2005,2
Bólivía,2006,2
Bólivía,2007,2
Bólivía,2008,3
Bólivía,2009,2
Bólivía,2010,1
Bólivía,2011,0
Bólivía,2012,1
Bólivía,2013,1
Bólivía,2014,1
Bólivía,2015,1
Bólivía,2016,2
Bólivía,2017,2
Bólivía,2018,2
Bólivía,2019,1
Bólivía,2020,2
Bólivía,2021,2
Bólivía,2022,1
Bólivía,2023,2
Bólivía,2024,3
Brasilía,1998,6
Brasilía,1999,6
Brasilía,2000,10
Brasilía,2001,11
Brasilía,2002,8
Brasilía,2003,10
Brasilía,2004,10
Brasilía,2005,14
Brasilía,2006,15
Brasilía,2007,17
Brasilía,2008,19
Brasilía,2009,20
Brasilía,2010,14
Brasilía,2011,15
Brasilía,2012,14
Brasilía,2013,12
Brasilía,2014,18
Brasilía,2015,19
Brasilía,2016,18
Brasilía,2017,23
Brasilía,2018,24
Brasilía,2019,28
Brasilía,2020,30
Brasilía,2021,33
Brasilía,2022,35
Brasilía,2023,41
Brasilía,2024,47
Bahamaeyjar,1998,0
Bahamaeyjar,1999,0
Bahamaeyjar,2000,0
Bahamaeyjar,2001,0
Bahamaeyjar,2002,0
Bahamaeyjar,2003,0
Bahamaeyjar,2004,0
Bahamaeyjar,2005,0
Bahamaeyjar,2006,0
Bahamaeyjar,2007,0
Bahamaeyjar,2008,0
Bahamaeyjar,2009,0
Bahamaeyjar,2010,0
Bahamaeyjar,2011,0
Bahamaeyjar,2012,0
Bahamaeyjar,2013,0
Bahamaeyjar,2014,0
Bahamaeyjar,2015,0
Bahamaeyjar,2016,1
Bahamaeyjar,2017,0
Bahamaeyjar,2018,0
Bahamaeyjar,2019,0
Bahamaeyjar,2020,0
Bahamaeyjar,2021,1
Bahamaeyjar,2022,1
Bahamaeyjar,2023,1
Bahamaeyjar,2024,1
Belize,1998,0
Belize,1999,0
Belize,2000,0
Belize,2001,0
Belize,2002,0
Belize,2003,0
Belize,2004,0
Belize,2005,0
Belize,2006,0
Belize,2007,0
Belize,2008,0
Belize,2009,0
Belize,2010,1
Belize,2011,0
Belize,2012,0
Belize,2013,0
Belize,2014,0
Belize,2015,0
Belize,2016,0
Belize,2017,0
Belize,2018,0
Belize,2019,0
Belize,2020,1
Belize,2021,1
Belize,2022,0
Belize,2023,0
Belize,2024,0
Chile,1998,9
Chile,1999,9
Chile,2000,14
Chile,2001,21
Chile,2002,25
Chile,2003,26
Chile,2004,22
Chile,2005,27
Chile,2006,36
Chile,2007,40
Chile,2008,24
Chile,2009,19
Chile,2010,16
Chile,2011,13
Chile,2012,11
Chile,2013,10
Chile,2014,8
Chile,2015,11
Chile,2016,10
Chile,2017,11
Chile,2018,10
Chile,2019,12
Chile,2020,17
Chile,2021,17
Chile,2022,19
Chile,2023,21
Chile,2024,22
Colombia,1998,5
Colombia,1999,5
Colombia,2000,8
Colombia,2001,12
Colombia,2002,12
Colombia,2003,13
Colombia,2004,14
Colombia,2005,18
Colombia,2006,30
Colombia,2007,31
Colombia,2008,31
Colombia,2009,29
Colombia,2010,29
Colombia,2011,26
Colombia,2012,16
Colombia,2013,17
Colombia,2014,10
Colombia,2015,11
Colombia,2016,12
Colombia,2017,19
Colombia,2018,17
Colombia,2019,24
Colombia,2020,28
Colombia,2021,34
Colombia,2022,36
Colombia,2023,42
Colombia,2024,56
Costa Rica,1998,4
Costa Rica,1999,3
Costa Rica,2000,5
Costa Rica,2001,4
Costa Rica,2002,4
Costa Rica,2003,3
Costa Rica,2004,4
Costa Rica,2005,4
Costa Rica,2006,3
Costa Rica,2007,5
Costa Rica,2008,5
Costa Rica,2009,3
Costa Rica,2010,2
Costa Rica,2011,2
Costa Rica,2012,0
Costa Rica,2013,0
Costa Rica,2014,2
Costa Rica,2015,2
Costa Rica,2016,1
Costa Rica,2017,5
Costa Rica,2018,7
Costa Rica,2019,7
Costa Rica,2020,6
Costa Rica,2021,5
Costa Rica,2022,6
Costa Rica,2023,5
Costa Rica,2024,7
Kúba,1998,1
Kúba,1999,4
Kúba,2000,5
Kúba,2001,8
Kúba,2002,9
Kúba,2003,8
Kúba,2004,5
Kúba,2005,4
Kúba,2006,4
Kúba,2007,5
Kúba,2008,8
Kúba,2009,7
Kúba,2010,8
Kúba,2011,7
Kúba,2012,5
Kúba,2013,7
Kúba,2014,8
Kúba,2015,10
Kúba,2016,10
Kúba,2017,11
Kúba,2018,10
Kúba,2019,7
Kúba,2020,9
Kúba,2021,7
Kúba,2022,7
Kúba,2023,8
Kúba,2024,11
Dóminíka,1998,0
Dóminíka,1999,0
Dóminíka,2000,0
Dóminíka,2001,0
Dóminíka,2002,0
Dóminíka,2003,0
Dóminíka,2004,0
Dóminíka,2005,0
Dóminíka,2006,0
Dóminíka,2007,0
Dóminíka,2008,0
Dóminíka,2009,0
Dóminíka,2010,0
Dóminíka,2011,0
Dóminíka,2012,0
Dóminíka,2013,0
Dóminíka,2014,0
Dóminíka,2015,1
Dóminíka,2016,1
Dóminíka,2017,0
Dóminíka,2018,0
Dóminíka,2019,0
Dóminíka,2020,0
Dóminíka,2021,0
Dóminíka,2022,0
Dóminíka,2023,1
Dóminíka,2024,1
Dóminíska lýðveldið,1998,0
Dóminíska lýðveldið,1999,0
Dóminíska lýðveldið,2000,0
Dóminíska lýðveldið,2001,0
Dóminíska lýðveldið,2002,2
Dóminíska lýðveldið,2003,2
Dóminíska lýðveldið,2004,1
Dóminíska lýðveldið,2005,1
Dóminíska lýðveldið,2006,1
Dóminíska lýðveldið,2007,2
Dóminíska lýðveldið,2008,2
Dóminíska lýðveldið,2009,4
Dóminíska lýðveldið,2010,3
Dóminíska lýðveldið,2011,4
Dóminíska lýðveldið,2012,5
Dóminíska lýðveldið,2013,3
Dóminíska lýðveldið,2014,4
Dóminíska lýðveldið,2015,3
Dóminíska lýðveldið,2016,5
Dóminíska lýðveldið,2017,6
Dóminíska lýðveldið,2018,9
Dóminíska lýðveldið,2019,7
Dóminíska lýðveldið,2020,6
Dóminíska lýðveldið,2021,5
Dóminíska lýðveldið,2022,5
Dóminíska lýðveldið,2023,5
Dóminíska lýðveldið,2024,6
Ekvador,1998,2
Ekvador,1999,0
Ekvador,2000,2
Ekvador,2001,5
Ekvador,2002,4
Ekvador,2003,4
Ekvador,2004,5
Ekvador,2005,3
Ekvador,2006,6
Ekvador,2007,5
Ekvador,2008,6
Ekvador,2009,2
Ekvador,2010,2
Ekvador,2011,3
Ekvador,2012,6
Ekvador,2013,7
Ekvador,2014,5
Ekvador,2015,5
Ekvador,2016,5
Ekvador,2017,5
Ekvador,2018,5
Ekvador,2019,8
Ekvador,2020,6
Ekvador,2021,8
Ekvador,2022,9
Ekvador,2023,7
Ekvador,2024,10
Grenada,1998,0
Grenada,1999,0
Grenada,2000,0
Grenada,2001,0
Grenada,2002,0
Grenada,2003,0
Grenada,2004,0
Grenada,2005,0
Grenada,2006,0
Grenada,2007,0
Grenada,2008,0
Grenada,2009,0
Grenada,2010,0
Grenada,2011,0
Grenada,2012,0
Grenada,2013,0
Grenada,2014,0
Grenada,2015,0
Grenada,2016,0
Grenada,2017,0
Grenada,2018,0
Grenada,2019,1
Grenada,2020,0
Grenada,2021,0
Grenada,2022,0
Grenada,2023,0
Grenada,2024,0
Guatemala,1998,1
Guatemala,1999,1
Guatemala,2000,1
Guatemala,2001,1
Guatemala,2002,1
Guatemala,2003,1
Guatemala,2004,1
Guatemala,2005,1
Guatemala,2006,1
Guatemala,2007,1
Guatemala,2008,1
Guatemala,2009,2
Guatemala,2010,1
Guatemala,2011,1
Guatemala,2012,1
Guatemala,2013,3
Guatemala,2014,2
Guatemala,2015,1
Guatemala,2016,2
Guatemala,2017,2
Guatemala,2018,1
Guatemala,2019,1
Guatemala,2020,2
Guatemala,2021,4
Guatemala,2022,5
Guatemala,2023,4
Guatemala,2024,4
Guyana,1998,2
Guyana,1999,5
Guyana,2000,5
Guyana,2001,5
Guyana,2002,3
Guyana,2003,3
Guyana,2004,4
Guyana,2005,4
Guyana,2006,2
Guyana,2007,2
Guyana,2008,2
Guyana,2009,2
Guyana,2010,2
Guyana,2011,1
Guyana,2012,1
Guyana,2013,0
Guyana,2014,0
Guyana,2015,0
Guyana,2016,1
Guyana,2017,1
Guyana,2018,1
Guyana,2019,3
Guyana,2020,3
Guyana,2021,3
Guyana,2022,1
Guyana,2023,1
Guyana,2024,1
Hondúras,1998,7
Hondúras,1999,11
Hondúras,2000,9
Hondúras,2001,10
Hondúras,2002,11
Hondúras,2003,7
Hondúras,2004,8
Hondúras,2005,6
Hondúras,2006,7
Hondúras,2007,7
Hondúras,2008,7
Hondúras,2009,5
Hondúras,2010,4
Hondúras,2011,4
Hondúras,2012,3
Hondúras,2013,3
Hondúras,2014,5
Hondúras,2015,4
Hondúras,2016,5
Hondúras,2017,9
Hondúras,2018,10
Hondúras,2019,10
Hondúras,2020,10
Hondúras,2021,13
Hondúras,2022,12
Hondúras,2023,18
Hondúras,2024,25
Haítí,1998,0
Haítí,1999,0
Haítí,2000,0
Haítí,2001,0
Haítí,2002,0
Haítí,2003,0
Haítí,2004,0
Haítí,2005,0
Haítí,2006,0
Haítí,2007,1
Haítí,2008,1
Haítí,2009,1
Haítí,2010,2
Haítí,2011,3
Haítí,2012,2
Haítí,2013,5
Haítí,2014,4
Haítí,2015,1
Haítí,2016,1
Haítí,2017,2
Haítí,2018,2
Haítí,2019,1
Haítí,2020,2
Haítí,2021,2
Haítí,2022,4
Haítí,2023,4
Haítí,2024,4
Jamaíka,1998,3
Jamaíka,1999,2
Jamaíka,2000,3
Jamaíka,2001,2
Jamaíka,2002,2
Jamaíka,2003,2
Jamaíka,2004,2
Jamaíka,2005,3
Jamaíka,2006,1
Jamaíka,2007,1
Jamaíka,2008,1
Jamaíka,2009,1
Jamaíka,2010,1
Jamaíka,2011,2
Jamaíka,2012,2
Jamaíka,2013,1
Jamaíka,2014,0
Jamaíka,2015,1
Jamaíka,2016,1
Jamaíka,2017,0
Jamaíka,2018,2
Jamaíka,2019,1
Jamaíka,2020,1
Jamaíka,2021,2
Jamaíka,2022,2
Jamaíka,2023,3
Jamaíka,2024,3
Sankti Kitts og Nevis,1998,0
Sankti Kitts og Nevis,1999,0
Sankti Kitts og Nevis,2000,0
Sankti Kitts og Nevis,2001,0
Sankti Kitts og Nevis,2002,0
Sankti Kitts og Nevis,2003,0
Sankti Kitts og Nevis,2004,0
Sankti Kitts og Nevis,2005,0
Sankti Kitts og Nevis,2006,0
Sankti Kitts og Nevis,2007,0
Sankti Kitts og Nevis,2008,0
Sankti Kitts og Nevis,2009,0
Sankti Kitts og Nevis,2010,0
Sankti Kitts og Nevis,2011,0
Sankti Kitts og Nevis,2012,0
Sankti Kitts og Nevis,2013,0
Sankti Kitts og Nevis,2014,0
Sankti Kitts og Nevis,2015,0
Sankti Kitts og Nevis,2016,0
Sankti Kitts og Nevis,2017,0
Sankti Kitts og Nevis,2018,0
Sankti Kitts og Nevis,2019,0
Sankti Kitts og Nevis,2020,0
Sankti Kitts og Nevis,2021,0
Sankti Kitts og Nevis,2022,0
Sankti Kitts og Nevis,2023,0
Sankti Kitts og Nevis,2024,0
Mexíkó,1998,6
Mexíkó,1999,7
Mexíkó,2000,5
Mexíkó,2001,6
Mexíkó,2002,7
Mexíkó,2003,8
Mexíkó,2004,11
Mexíkó,2005,8
Mexíkó,2006,11
Mexíkó,2007,11
Mexíkó,2008,11
Mexíkó,2009,17
Mexíkó,2010,16
Mexíkó,2011,12
Mexíkó,2012,13
Mexíkó,2013,17
Mexíkó,2014,14
Mexíkó,2015,19
Mexíkó,2016,24
Mexíkó,2017,32
Mexíkó,2018,32
Mexíkó,2019,37
Mexíkó,2020,36
Mexíkó,2021,35
Mexíkó,2022,40
Mexíkó,2023,43
Mexíkó,2024,46
Nicaragua,1998,0
Nicaragua,1999,0
Nicaragua,2000,0
Nicaragua,2001,0
Nicaragua,2002,0
Nicaragua,2003,1
Nicaragua,2004,1
Nicaragua,2005,1
Nicaragua,2006,0
Nicaragua,2007,0
Nicaragua,2008,0
Nicaragua,2009,0
Nicaragua,2010,0
Nicaragua,2011,0
Nicaragua,2012,1
Nicaragua,2013,0
Nicaragua,2014,0
Nicaragua,2015,0
Nicaragua,2016,0
Nicaragua,2017,0
Nicaragua,2018,1
Nicaragua,2019,0
Nicaragua,2020,1
Nicaragua,2021,2
Nicaragua,2022,2
Nicaragua,2023,2
Nicaragua,2024,5
Panama,1998,0
Panama,1999,1
Panama,2000,1
Panama,2001,0
Panama,2002,0
Panama,2003,0
Panama,2004,1
Panama,2005,1
Panama,2006,1
Panama,2007,1
Panama,2008,0
Panama,2009,2
Panama,2010,2
Panama,2011,1
Panama,2012,1
Panama,2013,1
Panama,2014,1
Panama,2015,1
Panama,2016,1
Panama,2017,1
Panama,2018,1
Panama,2019,2
Panama,2020,2
Panama,2021,4
Panama,2022,2
Panama,2023,3
Panama,2024,5
Perú,1998,5
Perú,1999,7
Perú,2000,8
Perú,2001,10
Perú,2002,12
Perú,2003,15
Perú,2004,18
Perú,2005,19
Perú,2006,16
Perú,2007,17
Perú,2008,13
Perú,2009,12
Perú,2010,10
Perú,2011,9
Perú,2012,7
Perú,2013,7
Perú,2014,8
Perú,2015,6
Perú,2016,7
Perú,2017,2
Perú,2018,3
Perú,2019,4
Perú,2020,5
Perú,2021,5
Perú,2022,7
Perú,2023,11
Perú,2024,17
Puerto Rico,1998,0
Puerto Rico,1999,1
Puerto Rico,2000,1
Puerto Rico,2001,1
Puerto Rico,2002,1
Puerto Rico,2003,1
Puerto Rico,2004,0
Puerto Rico,2005,0
Puerto Rico,2006,0
Puerto Rico,2007,0
Puerto Rico,2008,0
Puerto Rico,2009,0
Puerto Rico,2010,0
Puerto Rico,2011,0
Puerto Rico,2012,0
Puerto Rico,2013,0
Puerto Rico,2014,0
Puerto Rico,2015,0
Puerto Rico,2016,0
Puerto Rico,2017,0
Puerto Rico,2018,0
Puerto Rico,2019,0
Puerto Rico,2020,0
Puerto Rico,2021,0
Puerto Rico,2022,0
Puerto Rico,2023,0
Puerto Rico,2024,0
Paraguay,1998,0
Paraguay,1999,1
Paraguay,2000,0
Paraguay,2001,1
Paraguay,2002,2
Paraguay,2003,2
Paraguay,2004,1
Paraguay,2005,2
Paraguay,2006,3
Paraguay,2007,4
Paraguay,2008,4
Paraguay,2009,3
Paraguay,2010,3
Paraguay,2011,4
Paraguay,2012,4
Paraguay,2013,3
Paraguay,2014,2
Paraguay,2015,1
Paraguay,2016,1
Paraguay,2017,1
Paraguay,2018,1
Paraguay,2019,1
Paraguay,2020,1
Paraguay,2021,0
Paraguay,2022,1
Paraguay,2023,1
Paraguay,2024,1
Súrinam,1998,0
Súrinam,1999,0
Súrinam,2000,0
Súrinam,2001,0
Súrinam,2002,0
Súrinam,2003,0
Súrinam,2004,0
Súrinam,2005,0
Súrinam,2006,0
Súrinam,2007,0
Súrinam,2008,0
Súrinam,2009,0
Súrinam,2010,0
Súrinam,2011,0
Súrinam,2012,0
Súrinam,2013,0
Súrinam,2014,0
Súrinam,2015,0
Súrinam,2016,0
Súrinam,2017,0
Súrinam,2018,0
Súrinam,2019,0
Súrinam,2020,0
Súrinam,2021,0
Súrinam,2022,0
Súrinam,2023,0
Súrinam,2024,0
El Salvador,1998,0
El Salvador,1999,0
El Salvador,2000,0
El Salvador,2001,0
El Salvador,2002,1
El Salvador,2003,2
El Salvador,2004,2
El Salvador,2005,2
El Salvador,2006,2
El Salvador,2007,2
El Salvador,2008,6
El Salvador,2009,4
El Salvador,2010,4
El Salvador,2011,3
El Salvador,2012,2
El Salvador,2013,1
El Salvador,2014,1
El Salvador,2015,1
El Salvador,2016,0
El Salvador,2017,2
El Salvador,2018,2
El Salvador,2019,5
El Salvador,2020,7
El Salvador,2021,9
El Salvador,2022,11
El Salvador,2023,14
El Salvador,2024,15
Trínidad og Tóbagó,1998,1
Trínidad og Tóbagó,1999,1
Trínidad og Tóbagó,2000,1
Trínidad og Tóbagó,2001,1
Trínidad og Tóbagó,2002,2
Trínidad og Tóbagó,2003,2
Trínidad og Tóbagó,2004,1
Trínidad og Tóbagó,2005,0
Trínidad og Tóbagó,2006,0
Trínidad og Tóbagó,2007,0
Trínidad og Tóbagó,2008,0
Trínidad og Tóbagó,2009,0
Trínidad og Tóbagó,2010,0
Trínidad og Tóbagó,2011,0
Trínidad og Tóbagó,2012,0
Trínidad og Tóbagó,2013,0
Trínidad og Tóbagó,2014,0
Trínidad og Tóbagó,2015,0
Trínidad og Tóbagó,2016,2
Trínidad og Tóbagó,2017,2
Trínidad og Tóbagó,2018,1
Trínidad og Tóbagó,2019,1
Trínidad og Tóbagó,2020,1
Trínidad og Tóbagó,2021,1
Trínidad og Tóbagó,2022,4
Trínidad og Tóbagó,2023,4
Trínidad og Tóbagó,2024,6
Uruguay,1998,1
Uruguay,1999,1
Uruguay,2000,2
Uruguay,2001,2
Uruguay,2002,2
Uruguay,2003,2
Uruguay,2004,5
Uruguay,2005,4
Uruguay,2006,9
Uruguay,2007,10
Uruguay,2008,5
Uruguay,2009,4
Uruguay,2010,4
Uruguay,2011,4
Uruguay,2012,3
Uruguay,2013,2
Uruguay,2014,3
Uruguay,2015,2
Uruguay,2016,2
Uruguay,2017,2
Uruguay,2018,2
Uruguay,2019,3
Uruguay,2020,3
Uruguay,2021,3
Uruguay,2022,4
Uruguay,2023,4
Uruguay,2024,4
Sankti Vinsent og Grenadínur,1998,0
Sankti Vinsent og Grenadínur,1999,0
Sankti Vinsent og Grenadínur,2000,0
Sankti Vinsent og Grenadínur,2001,0
Sankti Vinsent og Grenadínur,2002,0
Sankti Vinsent og Grenadínur,2003,0
Sankti Vinsent og Grenadínur,2004,0
Sankti Vinsent og Grenadínur,2005,0
Sankti Vinsent og Grenadínur,2006,0
Sankti Vinsent og Grenadínur,2007,0
Sankti Vinsent og Grenadínur,2008,0
Sankti Vinsent og Grenadínur,2009,0
Sankti Vinsent og Grenadínur,2010,0
Sankti Vinsent og Grenadínur,2011,0
Sankti Vinsent og Grenadínur,2012,0
