date,undirvisitala,lidur,value,flokkur_1,flokkur_2,flokkur_3
2004-05-01,011 Matur,"Áhrif á vísitölu, %",0.001,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-06-01,011 Matur,"Vægi, %",0.132,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-06-01,011 Matur,"Mánaðarbreyting, %",0.0075,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-06-01,011 Matur,"Áhrif á vísitölu, %",0.001,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-07-01,011 Matur,"Vægi, %",0.1332,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-07-01,011 Matur,"Mánaðarbreyting, %",0.0046,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-07-01,011 Matur,"Áhrif á vísitölu, %",6e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-08-01,011 Matur,"Vægi, %",0.1336,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-08-01,011 Matur,"Mánaðarbreyting, %",0.0031,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-08-01,011 Matur,"Áhrif á vísitölu, %",4e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-09-01,011 Matur,"Vægi, %",0.1331,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-09-01,011 Matur,"Mánaðarbreyting, %",4e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-09-01,011 Matur,"Áhrif á vísitölu, %",1e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-10-01,011 Matur,"Vægi, %",0.1326,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-10-01,011 Matur,"Mánaðarbreyting, %",0.0037,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-10-01,011 Matur,"Áhrif á vísitölu, %",5e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-11-01,011 Matur,"Vægi, %",0.1323,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-11-01,011 Matur,"Mánaðarbreyting, %",-1e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-11-01,011 Matur,"Áhrif á vísitölu, %",0,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-12-01,011 Matur,"Vægi, %",0.133,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-12-01,011 Matur,"Mánaðarbreyting, %",0.0096,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-12-01,011 Matur,"Áhrif á vísitölu, %",0.0013,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-01-01,011 Matur,"Vægi, %",0.1336,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-01-01,011 Matur,"Mánaðarbreyting, %",0.0059,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-01-01,011 Matur,"Áhrif á vísitölu, %",8e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-02-01,011 Matur,"Vægi, %",0.1323,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-02-01,011 Matur,"Mánaðarbreyting, %",-0.0078000000000000005,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-02-01,011 Matur,"Áhrif á vísitölu, %",-0.001,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-03-01,011 Matur,"Vægi, %",0.1281,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-03-01,011 Matur,"Mánaðarbreyting, %",-0.0246,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-03-01,011 Matur,"Áhrif á vísitölu, %",-0.0032,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-04-01,011 Matur,"Vægi, %",0.12390000000000001,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-04-01,011 Matur,"Mánaðarbreyting, %",-0.0225,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-04-01,011 Matur,"Áhrif á vísitölu, %",-0.0029,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-05-01,011 Matur,"Vægi, %",0.1193,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-05-01,011 Matur,"Mánaðarbreyting, %",-0.04190000000000001,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-05-01,011 Matur,"Áhrif á vísitölu, %",-0.0052,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-06-01,011 Matur,"Vægi, %",0.1208,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-06-01,011 Matur,"Mánaðarbreyting, %",0.0189,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-06-01,011 Matur,"Áhrif á vísitölu, %",0.0023,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-07-01,011 Matur,"Vægi, %",0.12240000000000001,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-07-01,011 Matur,"Mánaðarbreyting, %",0.015,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-07-01,011 Matur,"Áhrif á vísitölu, %",0.0018,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-08-01,011 Matur,"Vægi, %",0.12279999999999999,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-08-01,011 Matur,"Mánaðarbreyting, %",0.004699999999999999,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-08-01,011 Matur,"Áhrif á vísitölu, %",6e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-09-01,011 Matur,"Vægi, %",0.1233,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-09-01,011 Matur,"Mánaðarbreyting, %",0.0197,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-09-01,011 Matur,"Áhrif á vísitölu, %",0.0024,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-10-01,011 Matur,"Vægi, %",0.124,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-10-01,011 Matur,"Mánaðarbreyting, %",0.0118,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-10-01,011 Matur,"Áhrif á vísitölu, %",0.0015,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-11-01,011 Matur,"Vægi, %",0.12380000000000001,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-11-01,011 Matur,"Mánaðarbreyting, %",-0.003,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-11-01,011 Matur,"Áhrif á vísitölu, %",-4e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-12-01,011 Matur,"Vægi, %",0.1234,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-12-01,011 Matur,"Mánaðarbreyting, %",-1e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2005-12-01,011 Matur,"Áhrif á vísitölu, %",0,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-01-01,011 Matur,"Vægi, %",0.1257,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-01-01,011 Matur,"Mánaðarbreyting, %",0.0222,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-01-01,011 Matur,"Áhrif á vísitölu, %",0.0027,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-02-01,011 Matur,"Vægi, %",0.1261,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-02-01,011 Matur,"Mánaðarbreyting, %",0.003,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-02-01,011 Matur,"Áhrif á vísitölu, %",4e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-03-01,011 Matur,"Vægi, %",0.1246,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-03-01,011 Matur,"Mánaðarbreyting, %",-0.0014000000000000002,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-03-01,011 Matur,"Áhrif á vísitölu, %",-2e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-04-01,011 Matur,"Vægi, %",0.1175,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-04-01,011 Matur,"Mánaðarbreyting, %",0.004699999999999999,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-04-01,011 Matur,"Áhrif á vísitölu, %",6e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-05-01,011 Matur,"Vægi, %",0.1153,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-05-01,011 Matur,"Mánaðarbreyting, %",-0.0040999999999999995,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-05-01,011 Matur,"Áhrif á vísitölu, %",-5e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-06-01,011 Matur,"Vægi, %",0.11810000000000001,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-06-01,011 Matur,"Mánaðarbreyting, %",0.0366,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-06-01,011 Matur,"Áhrif á vísitölu, %",0.0042,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-07-01,011 Matur,"Vægi, %",0.1192,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-07-01,011 Matur,"Mánaðarbreyting, %",0.013999999999999999,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-07-01,011 Matur,"Áhrif á vísitölu, %",0.0017000000000000001,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-08-01,011 Matur,"Vægi, %",0.1197,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-08-01,011 Matur,"Mánaðarbreyting, %",0.0078000000000000005,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-08-01,011 Matur,"Áhrif á vísitölu, %",9e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-09-01,011 Matur,"Vægi, %",0.1209,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-09-01,011 Matur,"Mánaðarbreyting, %",0.016,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-09-01,011 Matur,"Áhrif á vísitölu, %",0.0019,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-10-01,011 Matur,"Vægi, %",0.1198,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-10-01,011 Matur,"Mánaðarbreyting, %",-0.0070999999999999995,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-10-01,011 Matur,"Áhrif á vísitölu, %",-9e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-11-01,011 Matur,"Vægi, %",0.1197,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-11-01,011 Matur,"Mánaðarbreyting, %",-0.0016,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-11-01,011 Matur,"Áhrif á vísitölu, %",-2e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-12-01,011 Matur,"Vægi, %",0.1195,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-12-01,011 Matur,"Mánaðarbreyting, %",-0.0015,01 Matur og drykkjarvörur,011 Matur,Samtals
2006-12-01,011 Matur,"Áhrif á vísitölu, %",-2e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-01-01,011 Matur,"Vægi, %",0.12179999999999999,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-01-01,011 Matur,"Mánaðarbreyting, %",0.0217,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-01-01,011 Matur,"Áhrif á vísitölu, %",0.0026,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-02-01,011 Matur,"Vægi, %",0.1209,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-02-01,011 Matur,"Mánaðarbreyting, %",-0.0028000000000000004,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-02-01,011 Matur,"Áhrif á vísitölu, %",-3e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-03-01,011 Matur,"Vægi, %",0.11349999999999999,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-03-01,011 Matur,"Mánaðarbreyting, %",-0.0645,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-03-01,011 Matur,"Áhrif á vísitölu, %",-0.0078000000000000005,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-04-01,011 Matur,"Vægi, %",0.1114,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-04-01,011 Matur,"Mánaðarbreyting, %",-0.0086,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-04-01,011 Matur,"Áhrif á vísitölu, %",-0.001,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-05-01,011 Matur,"Vægi, %",0.1117,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-05-01,011 Matur,"Mánaðarbreyting, %",0.0113,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-05-01,011 Matur,"Áhrif á vísitölu, %",0.0013,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-06-01,011 Matur,"Vægi, %",0.1109,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-06-01,011 Matur,"Mánaðarbreyting, %",-0.0014000000000000002,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-06-01,011 Matur,"Áhrif á vísitölu, %",-2e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-07-01,011 Matur,"Vægi, %",0.1109,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-07-01,011 Matur,"Mánaðarbreyting, %",0.0016,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-07-01,011 Matur,"Áhrif á vísitölu, %",2e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-08-01,011 Matur,"Vægi, %",0.11109999999999999,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-08-01,011 Matur,"Mánaðarbreyting, %",0.0025,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-08-01,011 Matur,"Áhrif á vísitölu, %",3e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-09-01,011 Matur,"Vægi, %",0.1105,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-09-01,011 Matur,"Mánaðarbreyting, %",0.0073,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-09-01,011 Matur,"Áhrif á vísitölu, %",8e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-10-01,011 Matur,"Vægi, %",0.11109999999999999,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-10-01,011 Matur,"Mánaðarbreyting, %",0.0104,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-10-01,011 Matur,"Áhrif á vísitölu, %",0.0012,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-11-01,011 Matur,"Vægi, %",0.1097,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-11-01,011 Matur,"Mánaðarbreyting, %",-0.0060999999999999995,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-11-01,011 Matur,"Áhrif á vísitölu, %",-7.000000000000001e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-12-01,011 Matur,"Vægi, %",0.1105,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-12-01,011 Matur,"Mánaðarbreyting, %",0.0148,01 Matur og drykkjarvörur,011 Matur,Samtals
2007-12-01,011 Matur,"Áhrif á vísitölu, %",0.0016,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-01-01,011 Matur,"Vægi, %",0.11289999999999999,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-01-01,011 Matur,"Mánaðarbreyting, %",0.0236,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-01-01,011 Matur,"Áhrif á vísitölu, %",0.0026,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-02-01,011 Matur,"Vægi, %",0.11259999999999999,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-02-01,011 Matur,"Mánaðarbreyting, %",0.0105,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-02-01,011 Matur,"Áhrif á vísitölu, %",0.0012,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-03-01,011 Matur,"Vægi, %",0.1114,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-03-01,011 Matur,"Mánaðarbreyting, %",0.004,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-03-01,011 Matur,"Áhrif á vísitölu, %",5e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-04-01,011 Matur,"Vægi, %",0.11230000000000001,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-04-01,011 Matur,"Mánaðarbreyting, %",0.0629,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-04-01,011 Matur,"Áhrif á vísitölu, %",0.0069,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-05-01,011 Matur,"Vægi, %",0.1128,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-05-01,011 Matur,"Mánaðarbreyting, %",0.0181,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-05-01,011 Matur,"Áhrif á vísitölu, %",0.002,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-06-01,011 Matur,"Vægi, %",0.1125,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-06-01,011 Matur,"Mánaðarbreyting, %",0.0060999999999999995,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-06-01,011 Matur,"Áhrif á vísitölu, %",7.000000000000001e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-07-01,011 Matur,"Vægi, %",0.114,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-07-01,011 Matur,"Mánaðarbreyting, %",0.0233,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-07-01,011 Matur,"Áhrif á vísitölu, %",0.0026,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-08-01,011 Matur,"Vægi, %",0.1151,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-08-01,011 Matur,"Mánaðarbreyting, %",0.018000000000000002,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-08-01,011 Matur,"Áhrif á vísitölu, %",0.0021,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-09-01,011 Matur,"Vægi, %",0.11449999999999999,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-09-01,011 Matur,"Mánaðarbreyting, %",0.0034999999999999996,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-09-01,011 Matur,"Áhrif á vísitölu, %",4e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-10-01,011 Matur,"Vægi, %",0.11710000000000001,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-10-01,011 Matur,"Mánaðarbreyting, %",0.045,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-10-01,011 Matur,"Áhrif á vísitölu, %",0.0052,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-11-01,011 Matur,"Vægi, %",0.11960000000000001,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-11-01,011 Matur,"Mánaðarbreyting, %",0.0385,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-11-01,011 Matur,"Áhrif á vísitölu, %",0.0045000000000000005,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-12-01,011 Matur,"Vægi, %",0.1204,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-12-01,011 Matur,"Mánaðarbreyting, %",0.022799999999999997,01 Matur og drykkjarvörur,011 Matur,Samtals
2008-12-01,011 Matur,"Áhrif á vísitölu, %",0.0027,01 Matur og drykkjarvörur,011 Matur,Samtals
2009-01-01,011 Matur,"Vægi, %",0.1219,01 Matur og drykkjarvörur,011 Matur,Samtals
2009-01-01,011 Matur,"Mánaðarbreyting, %",0.0176,01 Matur og drykkjarvörur,011 Matur,Samtals
2009-01-01,011 Matur,"Áhrif á vísitölu, %",0.0021,01 Matur og drykkjarvörur,011 Matur,Samtals
2009-02-01,011 Matur,"Vægi, %",0.12119999999999999,01 Matur og drykkjarvörur,011 Matur,Samtals
2009-02-01,011 Matur,"Mánaðarbreyting, %",-1e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2009-02-01,011 Matur,"Áhrif á vísitölu, %",0,01 Matur og drykkjarvörur,011 Matur,Samtals
2009-03-01,011 Matur,"Vægi, %",0.1207,01 Matur og drykkjarvörur,011 Matur,Samtals
2009-03-01,011 Matur,"Mánaðarbreyting, %",-0.010700000000000001,01 Matur og drykkjarvörur,011 Matur,Samtals
2009-03-01,011 Matur,"Áhrif á vísitölu, %",-0.0013,01 Matur og drykkjarvörur,011 Matur,Samtals
2009-04-01,011 Matur,"Vægi, %",0.1283,01 Matur og drykkjarvörur,011 Matur,Samtals
2009-04-01,011 Matur,"Mánaðarbreyting, %",-0.0086,01 Matur og drykkjarvörur,011 Matur,Samtals
